epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7207,1.40258,3.34411,1.51814,0.02734,0.64093,0.2496,0.14692,1.12063,3.06586,1.10178,0.00021435,0.00021435,0.00021435
2,32.1383,1.27556,2.57268,1.31473,0.03244,0.65437,0.53828,0.33626,1.11425,2.91886,1.0648,0.000434219,0.000434219,0.000434219
3,49.093,1.27676,1.72877,1.36144,0.97602,0.30093,0.44583,0.26022,1.33575,3.09676,1.47491,0.000645033,0.000645033,0.000645033
4,67.0081,1.25048,1.32893,1.39464,0.86722,0.51845,0.67348,0.41385,1.23336,2.15862,1.28182,0.000846794,0.000846794,0.000846794
5,85.2033,1.20724,1.22271,1.36869,0.8195,0.61887,0.80118,0.52325,1.18974,1.55693,1.20389,0.0010395,0.0010395,0.0010395
6,108.572,1.15685,1.15714,1.34008,0.84944,0.76366,0.82887,0.51382,1.38046,1.6139,1.30872,0.00122315,0.00122315,0.00122315
7,133.347,1.16837,1.14933,1.31186,0.79786,0.84072,0.87632,0.5846,1.08462,1.06959,1.11741,0.00125923,0.00125923,0.00125923
8,157.957,1.21431,1.1305,1.32616,0.71682,0.84412,0.7909,0.53056,1.0663,1.10265,1.16087,0.00123094,0.00123094,0.00123094
9,182.539,1.13781,1.08164,1.2856,0.76554,0.89159,0.88508,0.5873,1.05836,0.97736,1.1372,0.00120265,0.00120265,0.00120265
10,206.285,1.11727,1.04626,1.24527,0.80983,0.90594,0.9072,0.61463,1.05082,0.96033,1.11264,0.00117435,0.00117435,0.00117435
11,229.13,1.09297,0.99641,1.24635,0.74505,0.82121,0.80734,0.49424,1.28423,1.21704,1.28147,0.00114606,0.00114606,0.00114606
12,254.45,1.10406,0.98988,1.23552,0.78343,0.77317,0.74417,0.4771,1.19936,1.05762,1.14566,0.00111776,0.00111776,0.00111776
13,281.911,1.10855,0.99942,1.23918,0.77744,0.56383,0.54769,0.35111,1.09448,0.92971,1.16871,0.00108947,0.00108947,0.00108947
14,310.127,1.09932,0.97625,1.23646,0.83595,0.49324,0.48207,0.31625,1.08653,0.94687,1.14662,0.00106118,0.00106118,0.00106118
15,339.621,1.09118,0.94508,1.22727,0.74705,0.54038,0.51901,0.35152,1.04924,0.90944,1.11314,0.00103288,0.00103288,0.00103288
16,368.906,1.10151,0.95126,1.22117,0.83013,0.6168,0.60355,0.40861,1.06693,0.88952,1.10942,0.00100459,0.00100459,0.00100459
17,396.881,1.08329,0.9206,1.20925,0.79895,0.66644,0.64446,0.42665,1.05196,0.83042,1.11736,0.000976293,0.000976293,0.000976293
18,424.976,1.08763,0.91179,1.21228,0.81209,0.63446,0.62234,0.416,1.04075,0.88401,1.12114,0.000947999,0.000947999,0.000947999
19,453.69,1.04762,0.88428,1.19295,0.84326,0.72192,0.71238,0.48111,1.02745,0.94814,1.13094,0.000919704,0.000919704,0.000919704
20,481.386,1.06643,0.90708,1.19378,0.82315,0.70827,0.70259,0.46155,1.09039,0.96533,1.16403,0.00089141,0.00089141,0.00089141
21,507.11,1.07139,0.88467,1.19946,0.82065,0.64168,0.63632,0.43621,1.04098,0.84184,1.12997,0.000863116,0.000863116,0.000863116
22,534.875,1.05419,0.88546,1.19629,0.78539,0.66786,0.63882,0.43323,1.03679,0.87781,1.14201,0.000834822,0.000834822,0.000834822
23,563.186,1.03849,0.89876,1.18023,0.83693,0.77067,0.76916,0.53465,1.01556,0.85163,1.12174,0.000806528,0.000806528,0.000806528
24,588.193,1.05879,0.87864,1.18656,0.82695,0.93155,0.92136,0.63591,1.07598,0.86396,1.14336,0.000778233,0.000778233,0.000778233
25,614.554,1.04473,0.86264,1.18761,0.84182,0.85201,0.87517,0.59467,1.07353,0.82397,1.14305,0.000749939,0.000749939,0.000749939
26,638.997,1.04187,0.87474,1.18427,0.87682,0.86992,0.91395,0.62671,1.0244,0.82371,1.12039,0.000721645,0.000721645,0.000721645
27,665.107,1.02586,0.8328,1.17097,0.78044,0.76187,0.74913,0.52515,1.04617,0.82282,1.12219,0.000693351,0.000693351,0.000693351
28,692.367,1.06862,0.86764,1.18444,0.86329,0.76259,0.77748,0.53401,1.10637,0.82397,1.13824,0.000665057,0.000665057,0.000665057
29,715.908,1.05458,0.84055,1.1635,0.81843,0.90636,0.89922,0.62022,1.0548,0.83971,1.13977,0.000636762,0.000636762,0.000636762
30,741.418,1.03209,0.83548,1.17047,0.81374,0.84655,0.82263,0.54225,1.2344,0.83255,1.19292,0.000608468,0.000608468,0.000608468
31,766.223,1.03966,0.81956,1.16159,0.81986,0.86578,0.8339,0.57563,1.07834,0.81667,1.13347,0.000580174,0.000580174,0.000580174
32,787.694,1.01287,0.79989,1.1501,0.81315,0.94497,0.91879,0.6402,1.00283,0.77305,1.09922,0.00055188,0.00055188,0.00055188
33,810.138,1.00573,0.80678,1.14475,0.84548,0.92105,0.92627,0.65232,0.99478,0.76754,1.10227,0.000523586,0.000523586,0.000523586
34,832.938,0.99801,0.78525,1.1423,0.81677,0.94098,0.92262,0.64948,1.01367,0.82025,1.11703,0.000495291,0.000495291,0.000495291
35,855.811,1.01263,0.79094,1.15435,0.85548,0.90526,0.92509,0.64704,1.03525,0.80364,1.13522,0.000466997,0.000466997,0.000466997
36,877.802,1.00574,0.78983,1.1446,0.84195,0.90373,0.92764,0.64792,1.01922,0.78531,1.13648,0.000438703,0.000438703,0.000438703
37,906.209,1.02983,0.79737,1.16407,0.85025,0.82375,0.84412,0.59096,1.01195,0.78306,1.13124,0.000410409,0.000410409,0.000410409
38,935.392,1.00438,0.7676,1.14708,0.8466,0.87574,0.87507,0.61221,1.00995,0.76982,1.11257,0.000382115,0.000382115,0.000382115
39,964.983,0.99875,0.77166,1.14203,0.85664,0.74992,0.77021,0.53769,1.03142,0.76926,1.10984,0.00035382,0.00035382,0.00035382
40,992.382,0.99053,0.76153,1.13368,0.88393,0.83108,0.84943,0.59783,1.02234,0.74794,1.11423,0.000325526,0.000325526,0.000325526
41,1029.4,0.98892,0.81602,1.12716,0.85297,0.74265,0.73608,0.50741,1.08697,0.79854,1.15305,0.000297232,0.000297232,0.000297232
42,1065.94,0.96701,0.76878,1.104,0.83352,0.70329,0.69268,0.48402,1.0106,0.7731,1.12761,0.000268938,0.000268938,0.000268938
43,1099.38,0.95915,0.73615,1.10393,0.83111,0.71528,0.69714,0.49744,0.98953,0.75564,1.102,0.000240644,0.000240644,0.000240644
44,1130.63,0.95247,0.72718,1.10564,0.8241,0.73354,0.72107,0.51667,1.00598,0.74588,1.13002,0.000212349,0.000212349,0.000212349
45,1160.66,0.95004,0.72553,1.11737,0.82923,0.76561,0.75212,0.53122,1.01492,0.77219,1.12146,0.000184055,0.000184055,0.000184055
46,1187.9,0.94114,0.70547,1.10759,0.82336,0.75804,0.7496,0.52477,1.01836,0.76436,1.13774,0.000155761,0.000155761,0.000155761
47,1214.44,0.94236,0.7084,1.09845,0.83524,0.76482,0.74671,0.51622,1.0263,0.7526,1.14173,0.000127467,0.000127467,0.000127467
48,1244.22,0.93217,0.68903,1.09762,0.83515,0.79622,0.78108,0.54128,1.00962,0.73506,1.12549,9.91726e-05,9.91726e-05,9.91726e-05
49,1270.74,0.92129,0.68385,1.08919,0.84357,0.79139,0.78188,0.54619,1.00585,0.73498,1.12561,7.08784e-05,7.08784e-05,7.08784e-05
50,1298.29,0.91768,0.66454,1.076,0.85547,0.84211,0.84234,0.5903,1.00793,0.7364,1.12951,4.25842e-05,4.25842e-05,4.25842e-05
