epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6164,1.33896,3.68655,0.01107,0.01574,0.50781,0.08825,0.04489,0.91672,3.96395,0.00863,0.00021435,0.00021435,0.00021435
2,38.733,1.21012,3.07418,0.00988,0.01987,0.63477,0.1946,0.12432,0.87838,3.62135,0.0082,0.000434219,0.000434219,0.000434219
3,57.2814,1.18689,2.34862,0.00962,0.39341,0.60002,0.277,0.17551,1.08686,3.30618,0.01053,0.000645033,0.000645033,0.000645033
4,75.7608,1.212,1.93841,0.00959,0.77216,0.25765,0.42062,0.28762,1.04431,2.92182,0.00997,0.000846794,0.000846794,0.000846794
5,95.1484,1.22235,1.82955,0.00976,0.75526,0.30708,0.6039,0.3921,1.14384,2.47771,0.01105,0.0010395,0.0010395,0.0010395
6,114.318,1.1922,1.69387,0.00961,0.78814,0.5249,0.71228,0.45638,1.20305,2.13086,0.01175,0.00122315,0.00122315,0.00122315
7,133.338,1.21574,1.63139,0.00974,0.77833,0.55905,0.74492,0.5135,1.11297,1.76614,0.01066,0.00125923,0.00125923,0.00125923
8,152.331,1.20072,1.55754,0.0092,0.64828,0.76056,0.74278,0.51947,1.04929,1.60636,0.00997,0.00123094,0.00123094,0.00123094
9,171.938,1.18299,1.48028,0.00948,0.67835,0.78039,0.76493,0.52417,1.07232,1.53417,0.01025,0.00120265,0.00120265,0.00120265
10,191.08,1.15036,1.40746,0.00897,0.69132,0.72314,0.76967,0.50844,1.07168,1.61275,0.01018,0.00117435,0.00117435,0.00117435
11,209.886,1.12446,1.37841,0.00907,0.69821,0.78655,0.78388,0.51583,1.11272,1.43619,0.01069,0.00114606,0.00114606,0.00114606
12,228.512,1.14135,1.31039,0.00892,0.70299,0.77538,0.78321,0.52501,1.12675,1.37389,0.01069,0.00111776,0.00111776,0.00111776
13,247.198,1.15789,1.2671,0.00936,0.65254,0.79719,0.80342,0.5363,1.04881,1.37257,0.00976,0.00108947,0.00108947,0.00108947
14,266.833,1.13604,1.24254,0.00908,0.72951,0.80692,0.81766,0.55448,1.16565,1.31975,0.01139,0.00106118,0.00106118,0.00106118
15,288.014,1.13625,1.19008,0.00926,0.73116,0.83278,0.83048,0.56707,1.09532,1.28656,0.0104,0.00103288,0.00103288,0.00103288
16,308.829,1.1566,1.18429,0.0091,0.7105,0.82831,0.82704,0.57523,1.05144,1.21557,0.00991,0.00100459,0.00100459,0.00100459
17,328.268,1.13443,1.15947,0.00902,0.74916,0.80091,0.82512,0.56087,1.04541,1.18372,0.00985,0.000976293,0.000976293,0.000976293
18,348.804,1.13288,1.14074,0.00886,0.73009,0.82753,0.83188,0.55971,1.07731,1.13866,0.01023,0.000947999,0.000947999,0.000947999
19,369.656,1.1072,1.08804,0.00897,0.80279,0.72519,0.84776,0.58548,1.06652,1.26311,0.01016,0.000919704,0.000919704,0.000919704
20,389.662,1.13874,1.09347,0.00889,0.78956,0.76628,0.85778,0.58271,1.03993,1.16383,0.00984,0.00089141,0.00089141,0.00089141
21,410.143,1.12057,1.05841,0.00898,0.79671,0.78223,0.83408,0.57294,1.04624,1.04336,0.00989,0.000863116,0.000863116,0.000863116
22,429.857,1.10698,1.03276,0.00882,0.72046,0.81975,0.82919,0.5611,1.07195,1.0797,0.01012,0.000834822,0.000834822,0.000834822
23,449.701,1.10401,1.04017,0.00863,0.83196,0.76062,0.85443,0.58892,1.08138,1.06374,0.01026,0.000806528,0.000806528,0.000806528
24,470.075,1.1191,1.00857,0.00866,0.80054,0.8391,0.86723,0.59935,1.02356,1.09715,0.00963,0.000778233,0.000778233,0.000778233
25,490.26,1.08756,1.00314,0.00859,0.77077,0.85358,0.87584,0.62023,1.03416,0.9781,0.00981,0.000749939,0.000749939,0.000749939
26,510.555,1.08038,0.98391,0.00855,0.78309,0.80465,0.8642,0.59659,1.03664,0.9648,0.00975,0.000721645,0.000721645,0.000721645
27,531.17,1.07106,0.94481,0.00845,0.79173,0.8615,0.86431,0.59336,1.03682,1.02568,0.00968,0.000693351,0.000693351,0.000693351
28,554.743,1.11804,0.98272,0.00859,0.76863,0.8499,0.85698,0.59769,1.0682,0.97227,0.01012,0.000665057,0.000665057,0.000665057
29,578.368,1.12018,0.95712,0.00871,0.76944,0.85321,0.85328,0.59764,1.02671,0.98593,0.0097,0.000636762,0.000636762,0.000636762
30,601.305,1.07963,0.94027,0.00851,0.77525,0.86959,0.86569,0.60224,1.09957,1.03087,0.01059,0.000608468,0.000608468,0.000608468
31,625.165,1.09671,0.91708,0.00841,0.76171,0.84191,0.87589,0.60482,1.02627,0.92938,0.00955,0.000580174,0.000580174,0.000580174
32,649.733,1.07512,0.89171,0.00822,0.78467,0.82595,0.87054,0.59754,1.08325,0.92591,0.01027,0.00055188,0.00055188,0.00055188
33,674.425,1.07014,0.89962,0.00857,0.81234,0.82226,0.87966,0.62158,1.03024,0.89139,0.00965,0.000523586,0.000523586,0.000523586
34,699.197,1.05712,0.87883,0.00812,0.81484,0.85276,0.88661,0.61272,1.08125,0.90957,0.0103,0.000495291,0.000495291,0.000495291
35,723.452,1.07947,0.88937,0.00859,0.76157,0.88386,0.87739,0.60979,1.06494,0.91393,0.01015,0.000466997,0.000466997,0.000466997
36,751.987,1.07692,0.86653,0.00822,0.83334,0.80068,0.87981,0.61727,1.02731,0.8726,0.00957,0.000438703,0.000438703,0.000438703
37,780.874,1.09849,0.87927,0.00826,0.80186,0.82697,0.87931,0.61893,1.0386,0.87098,0.00977,0.000410409,0.000410409,0.000410409
38,809.039,1.06929,0.86527,0.0083,0.80765,0.82702,0.87779,0.62202,1.01248,0.86048,0.00945,0.000382115,0.000382115,0.000382115
39,837.966,1.07975,0.86744,0.00839,0.83868,0.80468,0.87784,0.61103,1.02647,0.88809,0.00964,0.00035382,0.00035382,0.00035382
40,866.407,1.05844,0.84864,0.00816,0.83041,0.80067,0.878,0.62384,1.03697,0.86023,0.00978,0.000325526,0.000325526,0.000325526
41,904.056,1.0663,0.90457,0.00963,0.82003,0.83387,0.883,0.62047,1.07839,0.84488,0.01025,0.000297232,0.000297232,0.000297232
42,937.541,1.043,0.85491,0.00942,0.81567,0.8356,0.88718,0.63029,1.0209,0.84414,0.00963,0.000268938,0.000268938,0.000268938
43,968.446,1.02676,0.8488,0.00938,0.82569,0.83904,0.88965,0.63138,1.02585,0.85339,0.00961,0.000240644,0.000240644,0.000240644
44,997.301,1.02105,0.83275,0.00935,0.809,0.85509,0.8881,0.63004,1.02122,0.86654,0.00965,0.000212349,0.000212349,0.000212349
45,1026.82,1.01834,0.834,0.00961,0.79859,0.8497,0.88884,0.62802,1.08212,0.84571,0.01034,0.000184055,0.000184055,0.000184055
46,1053.68,1.00934,0.81306,0.00944,0.81414,0.84212,0.89171,0.63888,1.02537,0.82745,0.00971,0.000155761,0.000155761,0.000155761
47,1080.74,1.02065,0.81738,0.0093,0.82139,0.83144,0.89509,0.64281,1.00795,0.81105,0.00945,0.000127467,0.000127467,0.000127467
48,1108.25,1.01022,0.79448,0.00931,0.86614,0.81182,0.89672,0.64291,1.00416,0.81374,0.00939,9.91726e-05,9.91726e-05,9.91726e-05
49,1136.91,0.99303,0.79192,0.0092,0.84363,0.81991,0.89572,0.63882,1.01598,0.81756,0.00955,7.08784e-05,7.08784e-05,7.08784e-05
50,1163.34,0.98853,0.76327,0.00888,0.83444,0.81995,0.89442,0.64212,1.02376,0.81696,0.00965,4.25842e-05,4.25842e-05,4.25842e-05
