epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.2861,0.6759,0.97809,1,0.07005,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594
2,84.6249,0.22583,0.97663,1,0.06475,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335
3,117.237,0.28714,0.94693,1,0.16836,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476
4,149.304,0.35364,0.96397,1,0.09923,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,181.294,0.26554,0.95521,1,0.11552,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,213.702,0.25367,0.96543,1,0.11172,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,245.844,0.22436,0.98832,1,0.02849,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,277.7,0.16948,0.98637,1,0.0386,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,309.689,0.15613,0.97079,1,0.08722,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,341.736,0.12524,0.98442,1,0.04479,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,374.023,0.13102,0.98442,1,0.04941,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,405.848,0.13623,0.98296,1,0.0415,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,437.869,0.12986,0.99026,1,0.03286,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,469.633,0.11715,0.98004,1,0.05896,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,501.679,0.11529,0.98734,1,0.0382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,533.559,0.11092,0.99318,1,0.02136,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,565.664,0.11157,0.9815,1,0.05947,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,597.544,0.1085,0.98491,1,0.04297,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,629.743,0.10047,0.99367,1,0.01622,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,661.924,0.11277,0.99318,1,0.02809,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,694.162,0.09058,0.9927,1,0.02963,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,726.342,0.09011,0.9927,1,0.02547,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,758.223,0.08624,0.99026,1,0.03359,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,790.567,0.08784,0.98053,1,0.05455,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,822.464,0.08655,0.9927,1,0.02508,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,854.776,0.08563,0.99172,1,0.02992,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,887.184,0.08472,0.99367,1,0.01498,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,919.516,0.08635,0.9927,1,0.01824,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,951.152,0.08622,0.99367,1,0.02228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,983.536,0.07829,0.9888,1,0.02899,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1015.57,0.06942,0.99318,1,0.0213,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1047.9,0.07197,0.99367,1,0.02315,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1080.01,0.07015,0.99124,1,0.02652,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1112.37,0.06222,0.99464,1,0.01684,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1144.52,0.07631,0.99513,1,0.01681,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1176.79,0.05707,0.99659,1,0.01271,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1209.13,0.07341,0.99562,1,0.01531,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1241.36,0.06382,0.99513,1,0.02128,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1273.57,0.06861,0.99464,1,0.01689,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1305.54,0.05759,0.99708,1,0.01238,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1337.63,0.04885,0.99513,1,0.01501,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1369.56,0.05588,0.9927,1,0.02358,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1401.78,0.0574,0.99562,1,0.01206,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1433.92,0.06814,0.99367,1,0.02141,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1466.36,0.05949,0.99611,1,0.01119,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1498.24,0.04558,0.99416,1,0.01455,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1530.52,0.05257,0.99757,1,0.01336,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1562.57,0.05541,0.99659,1,0.01186,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1594.76,0.05336,0.99659,1,0.00945,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1627.27,0.04543,0.99659,1,0.0109,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1659.45,0.04543,0.99611,1,0.013,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1691.78,0.04209,0.99659,1,0.01353,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1724.14,0.04783,0.99659,1,0.01834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1756.65,0.04661,0.99562,1,0.0168,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1788.74,0.04814,0.99416,1,0.01642,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1821.34,0.04403,0.99562,1,0.01378,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
