epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,196.461,0.67928,0.98345,1,0.05203,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594
2,369.088,0.16012,0.98783,1,0.03488,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335
3,534.851,0.148,0.98393,1,0.04939,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476
4,698.37,0.18885,0.98588,1,0.0488,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,862.259,0.17392,0.99562,1,0.01688,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1026.02,0.16881,0.9888,1,0.04132,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1189.29,0.13532,0.98393,1,0.04537,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1352.99,0.11674,0.98393,1,0.05213,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1516.59,0.10463,0.99221,1,0.02889,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1680.19,0.10438,0.98783,1,0.0396,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1843.7,0.08917,0.99318,1,0.02109,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2006.73,0.0838,0.99318,1,0.02581,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2169.98,0.08372,0.99124,1,0.02597,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2334.07,0.07941,0.99172,1,0.02201,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2497.61,0.08284,0.98734,1,0.03736,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2661.6,0.08745,0.99318,1,0.02794,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2825.36,0.0692,0.98978,1,0.03016,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2989.41,0.0663,0.99464,1,0.02305,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3152.77,0.06349,0.99318,1,0.02442,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3316.27,0.0624,0.98783,1,0.04145,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3479.49,0.06186,0.98832,1,0.03521,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3643.27,0.05656,0.99318,1,0.02644,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3806.37,0.05276,0.99124,1,0.03083,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3969.83,0.04876,0.9888,1,0.03679,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
